Happiness Rank,Country,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Country_Chinese,continent
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,芬兰,Europe
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,丹麦,Europe
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,挪威,Europe
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,冰岛,Europe
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,荷兰,Europe
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,瑞士,Europe
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,瑞典,Europe
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,新西兰,Oceania
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,加拿大,North America
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,奥地利,Europe
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,澳大利亚,Oceania
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,哥斯达黎加,North America
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,以色列,Asia
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,卢森堡,Europe
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,英国,Europe
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,爱尔兰,Europe
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,德国,Europe
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,比利时,Europe
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,美国,North America
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,捷克,Europe
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,阿拉伯联合酋长国,Asia
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,马耳他,Europe
23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,墨西哥,North America
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,法国,Europe
25,Taiwan China,6.446,1.368,1.43,0.914,0.351,0.242,0.097,中国台湾,Asia
26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,智利,South America
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,危地马拉,North America
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,沙特阿拉伯,Asia
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,卡塔尔,Asia
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,西班牙,Europe
31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,巴拿马,North America
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,巴西,South America
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,乌拉圭,South America
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,新加坡,Asia
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,萨尔瓦多,North America
36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,意大利,Europe
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,巴林,Asia
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,斯洛伐克,Europe
39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,特立尼达和多巴哥,North America
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,波兰,Europe
41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,乌兹别克斯坦,Asia
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,立陶宛,Europe
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,哥伦比亚,South America
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,斯洛文尼亚,Europe
45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,尼加拉瓜,North America
46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006,科索沃,Europe
47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,阿根廷,South America
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,罗马尼亚,Europe
