Country,Region,Happiness Rank,Happiness Score,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Happiness Score in Dystopia,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia + residual,Country_Chinese,continent
Finland,Western Europe,1,7.808700085,0.031156305,7.869766235,7.747633934,1.972316742,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026,芬兰,Europe
Denmark,Western Europe,2,7.645599842,0.033492286,7.711244583,7.579955101,1.972316742,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,丹麦,Europe
Switzerland,Western Europe,3,7.559899807,0.035014171,7.628527641,7.491271973,1.972316742,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,瑞士,Europe
Iceland,Western Europe,4,7.504499912,0.059615862,7.621346951,7.387652874,1.972316742,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,冰岛,Europe
Norway,Western Europe,5,7.487999916,0.034837384,7.55628109,7.419718742,1.972316742,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,挪威,Europe
Netherlands,Western Europe,6,7.448900223,0.02779175,7.503372192,7.394428253,1.972316742,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,荷兰,Europe
Sweden,Western Europe,7,7.353499889,0.036234196,7.424519062,7.282480717,1.972316742,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,瑞典,Europe
New Zealand,North America and ANZ,8,7.299600124,0.039465468,7.376952648,7.222247601,1.972316742,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,新西兰,Oceania
Austria,Western Europe,9,7.294199944,0.033365164,7.359595776,7.228804111,1.972316742,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,奥地利,Europe
Luxembourg,Western Europe,10,7.237500191,0.030851794,7.297969818,7.177030563,1.972316742,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352,卢森堡,Europe
Canada,North America and ANZ,11,7.23210001,0.04040546,7.311294556,7.152905464,1.972316742,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108,加拿大,North America
Australia,North America and ANZ,12,7.222799778,0.041841116,7.30480814,7.140791416,1.972316742,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,澳大利亚,Oceania
United Kingdom,Western Europe,13,7.164500237,0.037161909,7.237337589,7.091662884,1.972316742,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992,英国,Europe
Israel,Middle East and North Africa,14,7.128600121,0.042515181,7.211929798,7.045270443,1.972316742,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402,以色列,Asia
Costa Rica,Latin America and Caribbean,15,7.121399879,0.044816118,7.209239483,7.033560276,1.972316742,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014,哥斯达黎加,North America
Ireland,Western Europe,16,7.093699932,0.039863452,7.171832085,7.01556778,1.972316742,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174,爱尔兰,Europe
Germany,Western Europe,17,7.075799942,0.035609804,7.145595074,7.00600481,1.972316742,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292,2.295249462,德国,Europe
United States,North America and ANZ,18,6.939599991,0.047316168,7.032339573,6.846860409,1.972316742,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794,美国,North America
Czech Republic,Central and Eastern Europe,19,6.910900116,0.042891297,6.994966984,6.826833248,1.972316742,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223,2.796808243,捷克,Europe
Belgium,Western Europe,20,6.863500118,0.034370355,6.930866241,6.796133995,1.972316742,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,2.348626614,比利时,Europe
United Arab Emirates,Middle East and North Africa,21,6.790800095,0.040698379,6.870568752,6.711031437,1.972316742,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518,2.166965961,阿拉伯联合酋长国,Asia
Malta,Western Europe,22,6.772799969,0.042958103,6.856997967,6.688601971,1.972316742,1.252513289,1.442956924,0.972042024,0.633239031,0.341180831,0.178864077,1.952012062,马耳他,Europe
France,Western Europe,23,6.663799763,0.037576791,6.737450123,6.590149403,1.972316742,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338,法国,Europe
Mexico,Latin America and Caribbean,24,6.465000153,0.048122469,6.559319973,6.370680332,1.972316742,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668,2.662540197,墨西哥,North America
Taiwan China,East Asia,25,6.45539999,0.039139576,6.532113552,6.378686428,1.972316742,1.327470541,1.357760668,0.878437996,0.449404389,0.150598705,0.131516352,2.160238743,中国台湾,Asia
Uruguay,Latin America and Caribbean,26,6.440100193,0.045419082,6.529121399,6.351078987,1.972316742,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074,2.167276382,乌拉圭,South America
Saudi Arabia,Middle East and North Africa,27,6.406499863,0.056533612,6.517305851,6.295693874,1.972316742,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315,2.203118801,沙特阿拉伯,Asia
Spain,Western Europe,28,6.400899887,0.04230037,6.483808517,6.317991257,1.972316742,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779,1.997088432,西班牙,Europe
Guatemala,Latin America and Caribbean,29,6.398900032,0.058398303,6.5133605,6.284439564,1.972316742,0.753815711,1.174267054,0.705952585,0.613146722,0.170611665,0.0983603,2.882723093,危地马拉,North America
Italy,Western Europe,30,6.38740015,0.043288074,6.47224474,6.302555561,1.972316742,1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.040145598,2.249505997,意大利,Europe
Singapore,Southeast Asia,31,6.377099991,0.033258967,6.442287445,6.311912537,1.972316742,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236,0.937031746,新加坡,Asia
Brazil,Latin America and Caribbean,32,6.375599861,0.040790688,6.455549717,6.295650005,1.972316742,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,2.571860313,巴西,South America
Slovenia,Central and Eastern Europe,33,6.363399982,0.043841314,6.449328899,6.277471066,1.972316742,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323,1.888586521,斯洛文尼亚,Europe
El Salvador,Latin America and Caribbean,34,6.34829998,0.058248438,6.462466717,6.234133244,1.972316742,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352,2.937191725,萨尔瓦多,North America
