Country,Region,Happiness Rank,Happiness Score,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Ladder score in Dystopia,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia + residual,Country_Chinese,continent
Finland,Western Europe,1,7.842,0.032,7.904,7.78,2.43,1.446,1.106,0.741,0.691,0.124,0.481,3.253,芬兰,Europe
Denmark,Western Europe,2,7.62,0.035,7.687,7.552,2.43,1.502,1.108,0.763,0.686,0.208,0.485,2.868,丹麦,Europe
Switzerland,Western Europe,3,7.571,0.036,7.643,7.5,2.43,1.566,1.079,0.816,0.653,0.204,0.413,2.839,瑞士,Europe
Iceland,Western Europe,4,7.554,0.059,7.67,7.438,2.43,1.482,1.172,0.772,0.698,0.293,0.17,2.967,冰岛,Europe
Netherlands,Western Europe,5,7.464,0.027,7.518,7.41,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,荷兰,Europe
Norway,Western Europe,6,7.392,0.035,7.462,7.323,2.43,1.543,1.108,0.782,0.703,0.249,0.427,2.58,挪威,Europe
Sweden,Western Europe,7,7.363,0.036,7.433,7.293,2.43,1.478,1.062,0.763,0.685,0.244,0.448,2.683,瑞典,Europe
Luxembourg,Western Europe,8,7.324,0.037,7.396,7.252,2.43,1.751,1.003,0.76,0.639,0.166,0.353,2.653,卢森堡,Europe
New Zealand,North America and ANZ,9,7.277,0.04,7.355,7.198,2.43,1.4,1.094,0.785,0.665,0.276,0.445,2.612,新西兰,Oceania
Austria,Western Europe,10,7.268,0.036,7.337,7.198,2.43,1.492,1.062,0.782,0.64,0.215,0.292,2.784,奥地利,Europe
Australia,North America and ANZ,11,7.183,0.041,7.265,7.102,2.43,1.453,1.076,0.801,0.647,0.291,0.317,2.598,澳大利亚,Oceania
Israel,Middle East and North Africa,12,7.157,0.034,7.224,7.09,2.43,1.376,1.074,0.788,0.509,0.208,0.119,3.083,以色列,Asia
Germany,Western Europe,13,7.155,0.04,7.232,7.077,2.43,1.48,0.993,0.757,0.6,0.195,0.306,2.824,德国,Europe
Canada,North America and ANZ,14,7.103,0.042,7.185,7.021,2.43,1.447,1.044,0.798,0.648,0.246,0.335,2.585,加拿大,North America
Ireland,Western Europe,15,7.085,0.04,7.164,7.006,2.43,1.644,1.092,0.753,0.606,0.238,0.367,2.384,爱尔兰,Europe
Costa Rica,Latin America and Caribbean,16,7.069,0.056,7.179,6.96,2.43,1.134,0.966,0.722,0.673,0.105,0.083,3.387,哥斯达黎加,North America
United Kingdom,Western Europe,17,7.064,0.038,7.138,6.99,2.43,1.423,1.062,0.757,0.58,0.34,0.306,2.596,英国,Europe
Czech Republic,Central and Eastern Europe,18,6.965,0.049,7.062,6.868,2.43,1.37,1.09,0.703,0.58,0.052,0.046,3.124,捷克,Europe
United States,North America and ANZ,19,6.951,0.049,7.047,6.856,2.43,1.533,1.03,0.621,0.554,0.252,0.154,2.807,美国,North America
Belgium,Western Europe,20,6.834,0.034,6.901,6.767,2.43,1.463,0.998,0.747,0.489,0.088,0.187,2.862,比利时,Europe
France,Western Europe,21,6.69,0.037,6.762,6.618,2.43,1.421,1.081,0.804,0.536,0.092,0.235,2.521,法国,Europe
Bahrain,Middle East and North Africa,22,6.647,0.068,6.779,6.514,2.43,1.409,0.899,0.662,0.661,0.246,0.139,2.631,巴林,Asia
Malta,Western Europe,23,6.602,0.044,6.688,6.516,2.43,1.411,1.055,0.747,0.664,0.275,0.183,2.268,马耳他,Europe
Taiwan China,East Asia,24,6.584,0.038,6.659,6.51,2.43,1.48,0.982,0.665,0.49,0.142,0.139,2.687,中国台湾,Asia
United Arab Emirates,Middle East and North Africa,25,6.561,0.039,6.637,6.484,2.43,1.555,0.86,0.594,0.67,0.236,0.223,2.422,阿拉伯联合酋长国,Asia
Saudi Arabia,Middle East and North Africa,26,6.494,0.056,6.604,6.384,2.43,1.435,0.964,0.571,0.603,0.09,0.163,2.668,沙特阿拉伯,Asia
Spain,Western Europe,27,6.491,0.042,6.574,6.408,2.43,1.375,1.057,0.826,0.462,0.135,0.124,2.513,西班牙,Europe
Italy,Western Europe,28,6.483,0.045,6.572,6.395,2.43,1.393,0.94,0.798,0.379,0.133,0.047,2.794,意大利,Europe
