Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Country_Chinese,continent
Finland,Western Europe,1,7.821,1.892,1.258,0.775,0.736,0.109,0.534,芬兰,Europe
Denmark,Western Europe,2,7.636,1.953,1.243,0.777,0.719,0.188,0.532,丹麦,Europe
Iceland,Western Europe,3,7.557,1.936,1.32,0.803,0.718,0.27,0.191,冰岛,Europe
Switzerland,Western Europe,4,7.512,2.026,1.226,0.822,0.677,0.147,0.461,瑞士,Europe
Netherlands,Western Europe,5,7.415,1.945,1.206,0.787,0.651,0.271,0.419,荷兰,Europe
Luxembourg,Western Europe,6,7.404,2.209,1.155,0.79,0.7,0.12,0.388,卢森堡,Europe
Sweden,Western Europe,7,7.384,1.92,1.204,0.803,0.724,0.218,0.512,瑞典,Europe
Norway,Western Europe,8,7.365,1.997,1.239,0.786,0.728,0.217,0.474,挪威,Europe
Israel,Middle East and North Africa,9,7.364,1.826,1.221,0.818,0.568,0.155,0.143,以色列,Asia
New Zealand,North America and ANZ,10,7.2,1.852,1.235,0.752,0.68,0.245,0.483,新西兰,Oceania
Austria,Western Europe,11,7.163,1.931,1.165,0.774,0.623,0.193,0.329,奥地利,Europe
Australia,North America and ANZ,12,7.162,1.9,1.203,0.772,0.676,0.258,0.341,澳大利亚,Oceania
Ireland,Western Europe,13,7.041,2.129,1.166,0.779,0.627,0.19,0.408,爱尔兰,Europe
Germany,Western Europe,14,7.034,1.924,1.088,0.776,0.585,0.163,0.358,德国,Europe
Canada,North America and ANZ,15,7.025,1.886,1.188,0.783,0.659,0.217,0.368,加拿大,North America
United States,North America and ANZ,16,6.977,1.982,1.182,0.628,0.574,0.22,0.177,美国,North America
United Kingdom,Western Europe,17,6.943,1.867,1.143,0.75,0.597,0.289,0.329,英国,Europe
Czechia,Central and Eastern Europe,18,6.92,1.815,1.26,0.715,0.66,0.158,0.048,捷克,Europe
