Country,Happiness Rank,Happiness Score,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Happiness Score in Dystopia,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia + residual,Country_Chinese,continent
Finland,1,7.804,0.036,7.875,7.733,1.778,1.888,1.585,0.535,0.772,0.126,0.535,2.363,芬兰,Europe
Denmark,2,7.586,0.041,7.667,7.506,1.778,1.949,1.548,0.537,0.734,0.208,0.525,2.084,丹麦,Europe
Iceland,3,7.53,0.049,7.625,7.434,1.778,1.926,1.62,0.559,0.738,0.25,0.187,2.25,冰岛,Europe
Israel,4,7.473,0.032,7.535,7.411,1.778,1.833,1.521,0.577,0.569,0.124,0.158,2.691,以色列,Asia
Netherlands,5,7.403,0.029,7.46,7.346,1.778,1.942,1.488,0.545,0.672,0.251,0.394,2.11,荷兰,Europe
Sweden,6,7.395,0.037,7.468,7.322,1.778,1.921,1.51,0.562,0.754,0.225,0.52,1.903,瑞典,Europe
Norway,7,7.315,0.044,7.402,7.229,1.778,1.994,1.521,0.544,0.752,0.212,0.463,1.829,挪威,Europe
Switzerland,8,7.24,0.043,7.324,7.156,1.778,2.022,1.463,0.582,0.678,0.151,0.475,1.87,瑞士,Europe
Luxembourg,9,7.228,0.069,7.363,7.093,1.778,2.2,1.357,0.549,0.71,0.149,0.418,1.845,卢森堡,Europe
New Zealand,10,7.123,0.038,7.198,7.048,1.778,1.842,1.544,0.513,0.672,0.23,0.471,1.852,新西兰,Oceania
Austria,11,7.097,0.04,7.176,7.018,1.778,1.927,1.382,0.535,0.63,0.191,0.31,2.124,奥地利,Europe
Australia,12,7.095,0.044,7.18,7.009,1.778,1.899,1.497,0.532,0.677,0.242,0.31,1.938,澳大利亚,Oceania
Canada,13,6.961,0.042,7.042,6.879,1.778,1.881,1.484,0.541,0.656,0.218,0.364,1.815,加拿大,North America
Ireland,14,6.911,0.044,6.996,6.825,1.778,2.152,1.425,0.539,0.656,0.186,0.409,1.545,爱尔兰,Europe
United States,15,6.894,0.047,6.986,6.802,1.778,1.98,1.46,0.39,0.557,0.21,0.172,2.124,美国,North America
Germany,16,6.892,0.049,6.989,6.795,1.778,1.919,1.401,0.539,0.618,0.153,0.365,1.898,德国,Europe
Belgium,17,6.859,0.034,6.926,6.793,1.778,1.907,1.449,0.528,0.59,0.137,0.273,1.976,比利时,Europe
Czechia,18,6.845,0.044,6.931,6.759,1.778,1.823,1.544,0.477,0.693,0.158,0.05,2.099,捷克,Europe
United Kingdom,19,6.796,0.042,6.877,6.714,1.778,1.857,1.366,0.511,0.626,0.272,0.34,1.822,英国,Europe
Lithuania,20,6.763,0.044,6.849,6.677,1.778,1.808,1.511,0.432,0.487,0.059,0.089,2.377,立陶宛,Europe
France,21,6.661,0.038,6.735,6.588,1.778,1.856,1.433,0.566,0.582,0.083,0.27,1.872,法国,Europe
Slovenia,22,6.65,0.051,6.75,6.55,1.778,1.815,1.539,0.532,0.707,0.144,0.113,1.799,斯洛文尼亚,Europe
Costa Rica,23,6.609,0.052,6.71,6.507,1.778,1.587,1.34,0.503,0.683,0.099,0.116,2.281,哥斯达黎加,North America
Romania,24,6.589,0.052,6.69,6.488,1.778,1.726,1.28,0.423,0.631,0.044,0.0,2.485,罗马尼亚,Europe
Singapore,25,6.587,0.068,6.72,6.454,1.778,2.168,1.354,0.607,0.66,0.17,0.561,1.067,新加坡,Asia
United Arab Emirates,26,6.571,0.043,6.656,6.486,1.778,2.015,1.223,0.401,0.745,0.188,0.247,1.752,阿拉伯联合酋长国,Asia
Taiwan China,27,6.535,0.047,6.627,6.444,1.778,1.89,1.372,0.492,0.562,0.067,0.178,1.974,中国台湾,Asia
