Country,Happiness Rank,Happiness Score,Upper Confidence Interval,Lower Confidence Interval,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia + residual,Country_Chinese,continent
Finland,1,7.741,7.815,7.667,1.844,1.572,0.695,0.859,0.142,0.546,2.082,芬兰,Europe
Denmark,2,7.583,7.665,7.5,1.908,1.52,0.699,0.823,0.204,0.548,1.881,丹麦,Europe
Iceland,3,7.525,7.618,7.433,1.881,1.617,0.718,0.819,0.258,0.182,2.05,冰岛,Europe
Sweden,4,7.344,7.422,7.267,1.878,1.501,0.724,0.838,0.221,0.524,1.658,瑞典,Europe
Israel,5,7.341,7.405,7.277,1.803,1.513,0.74,0.641,0.153,0.193,2.298,以色列,Asia
Netherlands,6,7.319,7.383,7.256,1.901,1.462,0.706,0.725,0.247,0.372,1.906,荷兰,Europe
Norway,7,7.302,7.389,7.215,1.952,1.517,0.704,0.835,0.224,0.484,1.586,挪威,Europe
Luxembourg,8,7.122,7.213,7.031,2.141,1.355,0.708,0.801,0.146,0.432,1.54,卢森堡,Europe
Switzerland,9,7.06,7.147,6.973,1.97,1.425,0.747,0.759,0.173,0.498,1.488,瑞士,Europe
Australia,10,7.057,7.141,6.973,1.854,1.461,0.692,0.756,0.225,0.323,1.745,澳大利亚,Oceania
New Zealand,11,7.029,7.105,6.954,1.81,1.527,0.673,0.746,0.226,0.48,1.567,新西兰,Oceania
Costa Rica,12,6.955,7.051,6.86,1.561,1.373,0.661,0.797,0.109,0.123,2.333,哥斯达黎加,North America
Kuwait,13,6.951,7.06,6.843,1.845,1.364,0.661,0.827,0.2,0.172,1.884,科威特,Asia
Austria,14,6.905,6.986,6.824,1.885,1.336,0.696,0.703,0.214,0.305,1.766,奥地利,Europe
Canada,15,6.9,6.984,6.815,1.84,1.459,0.701,0.73,0.23,0.368,1.572,加拿大,North America
Belgium,16,6.894,6.961,6.827,1.868,1.44,0.69,0.729,0.17,0.311,1.686,比利时,Europe
Ireland,17,6.838,6.927,6.749,2.129,1.39,0.7,0.758,0.205,0.418,1.239,爱尔兰,Europe
Czechia,18,6.822,6.903,6.741,1.783,1.511,0.638,0.787,0.177,0.068,1.858,捷克,Europe
